group,targets,BMI,HAIRA,HATOTB,HCHILD,HHHRES,HITOT,IEARN,INHPFN,LIVSIB,PRPCNT
"0,0,1,1,1","SHLT, MSTOT, COGTOT",0.2068456464463275,0.1022728129027406,0.211098827377583,0.0894650205764918,0.0278240573550115,0.1973953587980774,0.0417325994017227,0.0099419686123481,0.0852236003262131,0.028200108203484
"0,1,1,1,1","SHLT, MSTOT, COGTOT",0.2053661306287461,0.1654076831719949,0.1642805440275214,0.0868824919479954,0.0188874148846358,0.1907293446759649,0.0414541241040415,0.0116747550190057,0.090250822058022,0.025066689482072
"0,0,0,0,0","SHLT, MSTOT, COGTOT",0.1868071430006678,0.0638274551333092,0.1852200591881493,0.0684390510286402,0.0483961618341154,0.1974494569763816,0.1395747851170358,0.0045039271410753,0.0806687688679523,0.0251131917126728
"0,0,0,0,1","SHLT, MSTOT, COGTOT",0.2068818474812955,0.1032776519680255,0.2044773547130988,0.073819789373017,0.0452215898077925,0.1793716736763068,0.0660103013470168,0.001702763932232,0.0947145363287838,0.0245224913724308
"0,0,1,0,0","SHLT, MSTOT, COGTOT",0.177118188373725,0.0803452414335294,0.1943555484120635,0.0787109404663383,0.0330998386439189,0.1865482303977527,0.1323837420373064,0.0044819816503692,0.0812492788589754,0.0317070097260207
"0,0,1,0,1 + 0,1,1,0,0 + 0,1,1,1,0","SHLT, MSTOT, COGTOT",0.1828677137822382,0.1004723323523964,0.2044852141962428,0.0775196225698225,0.0259286843496517,0.1922841193224185,0.1022726807925202,0.0027763187442901,0.0841039352551035,0.0272893786353159
"0,0,1,1,0","SHLT, MSTOT, COGTOT",0.1658058226169569,0.093817319982737,0.2158594859139488,0.0819146332161367,0.0200012008485746,0.1814783681380455,0.1228880325440968,0.0056377972996093,0.0850336484623652,0.0275636909775287
"1,0,0,0,0","SHLT, MSTOT, COGTOT",0.1902421496829782,0.0081602017783844,0.1871858882248038,0.123933629979081,0.0755596372678224,0.1543719133650141,0.0860199459468727,0.0014947531953211,0.1467075558709707,0.0263243246887514
