Fold,Train_MSE,Train_R2,Test_MSE,Test_R2
1,0.21461066554233807,0.9650881212497788,1.3325888139404165,0.7725411526583299
2,0.2095430213310879,0.9656488693637136,1.3054834176503645,0.7579958485625843
3,0.21025522658421844,0.9650835695498589,1.4793535975267023,0.7579021295821136
4,0.21141735844342788,0.9651241913827245,1.4738566610455317,0.7608602778835163
5,0.21272822386708282,0.9650077811997937,1.2600903878583483,0.7870844367173456
6,0.20712367656704167,0.9656987997608625,1.4356870432827442,0.7505975560208341
7,0.20821594990474732,0.9654838257010866,1.5913034288926393,0.7327700435952758
8,0.21352996658234544,0.9643385720778435,1.3382542439572802,0.7823793584111298
9,0.21059292673787,0.9653695972043584,1.7804354992967661,0.7258648348855155
10,0.2957846877351395,0.9517772336119134,2.136226395939086,0.6592717261103197
11,0.30485517306245363,0.9497840110264896,1.5647099830795268,0.7454870573296156
12,0.28742513167795397,0.9545189378463564,2.2115296108291034,0.6216344724555952
13,0.28911813393529023,0.953780746956313,1.614355668358714,0.6694498173101732
14,0.2880034424379238,0.9539344164028029,1.577567681895094,0.6899905824962941
15,0.27481495485327373,0.9554356342516456,1.8529695431472082,0.6499009268327053
16,0.2939822987208428,0.9530820687323414,2.194206091370558,0.6652216689060496
17,0.29279557938299455,0.9520773180945367,1.8267509306260576,0.6931810497305698
18,0.29476591464561036,0.9517671653179182,2.381104251700681,0.6803788719289582
19,0.26253132422320014,0.9557407385015195,1.8018857456140356,0.6951110185479061
20,0.26090727183992307,0.955599163720247,1.859682383040937,0.6872889860071686
21,0.2632698714820244,0.9558418412961283,2.176964400584797,0.6304247401833457
22,0.2621072538017418,0.9556650609110598,1.865772087912088,0.6817266625092224
23,0.25484447426201673,0.9562925816735732,1.8350154578754594,0.6904412435648223
24,0.2643632755956759,0.9546355930969485,2.021806446886449,0.6806233395355993
25,0.261314076604051,0.9550468029916953,1.7593053479853475,0.684240978268865
26,0.2666231275920971,0.9547530969174042,1.6152191208791205,0.7207841588907763
27,0.265504440107345,0.9544911715868752,1.7839329670329669,0.7044071750223085
28,0.27221490465846127,0.9542130242744017,1.9726844191096629,0.6678862362630041
29,0.28435182235095474,0.9527323383401902,1.7631533659066239,0.6975929678941591
30,0.28657195269128777,0.9522577662802233,1.8455579804560271,0.68057474021816
31,0.28196279869659824,0.9530701527135942,1.9784876221498375,0.6600255878505449
32,0.28585320419985666,0.9524613089917427,1.7423357220412592,0.702908089801986
33,0.27901370383779933,0.9538533907446904,2.0988399565689466,0.6350200554927445
34,0.2769112599565545,0.9528156302391735,2.247624701411508,0.6570941669429019
35,0.2760193665158381,0.953375586277212,2.193711528004351,0.6523963261175536
36,0.27728703469080096,0.9531599854738838,2.336725448613377,0.6289455071421698
37,0.34855318761384435,0.9412968018418217,2.059354545454546,0.6322583696130463
38,0.3327140892531885,0.9430841970380633,2.8094596232596234,0.5273961989075965
