Target Feature,Group,Train MSE,Test MSE,Train R2,Test R2
MSTOT,"0,0,0,0,0",3.1037183826662593,3.130400055705678,-0.06256023282458913,-0.07282887800600284
MSTOT,"0,0,0,0,1",2.4892920182842566,2.5471548256806913,0.10935795008867158,0.07709705278749039
MSTOT,"0,0,1,0,0",3.5208967172864702,3.592372978606233,-0.0003276859550468636,-0.025067758574993916
MSTOT,"0,0,1,0,1 + 0,1,1,0,0 + 0,1,1,1,0",2.508682479323098,2.5415493195323124,-0.04993819905709497,-0.06588593893730822
MSTOT,"0,0,1,1,0",2.9140652602779,3.004784529241046,-0.029952853105988643,-0.07240041699731219
MSTOT,"0,0,1,1,1",2.7499874321233078,2.8114460293849968,-0.045174325344356295,-0.07702074261364109
MSTOT,"0,1,1,1,1",1.9124117067091984,2.066899764662936,0.07753405732159349,-0.04422686563266207
MSTOT,"1,0,0,0,0",4.061135362155407,4.6817118929432855,0.1615879087640178,0.012242668470111528
COGTOT,"0,0,0,0,0",12.70670669674204,12.826930323450696,0.1000728975429637,0.09083120468726637
COGTOT,"0,0,0,0,1",11.778222966693228,12.30573620801159,0.17649456711823375,0.1345412249502497
COGTOT,"0,0,1,0,0",14.902712274663406,15.279510369102521,0.13302427966350003,0.10953132782920223
COGTOT,"0,0,1,0,1 + 0,1,1,0,0 + 0,1,1,1,0",13.257977720444405,13.501019227247792,0.09106806889749887,0.07349861407454764
COGTOT,"0,0,1,1,0",13.065453315717278,13.36073962106019,0.10616263429721565,0.08208465558146698
COGTOT,"0,0,1,1,1",13.670951453408012,14.120721411002204,0.12359212761241271,0.08883379532229893
COGTOT,"0,1,1,1,1",10.90517897142248,11.562953759763234,0.18152157683839237,0.12324302104440585
COGTOT,"1,0,0,0,0",12.534676572594702,14.433787445079691,0.21664785412239765,0.07204206636544194
SHLT,"0,0,0,0,0",0.8211882822112108,0.830695976216645,0.11851100191812254,0.10715232548371252
SHLT,"0,0,0,0,1",0.7843617506035001,0.8174664292672457,0.15396450339127005,0.11405746371896745
SHLT,"0,0,1,0,0",0.7601926186497715,0.778802369977875,0.11111628997903471,0.08729536185713126
SHLT,"0,0,1,0,1 + 0,1,1,0,0 + 0,1,1,1,0",0.7447315818575607,0.7579911019604574,0.08795635705951574,0.06798669897142172
SHLT,"0,0,1,1,0",0.7358982913571271,0.7502319897998294,0.08919613870452935,0.06904537013560401
SHLT,"0,0,1,1,1",0.7699661697356024,0.790258562785327,0.1046617402909464,0.07782040714038328
SHLT,"0,1,1,1,1",0.6811588840364744,0.716634206822244,0.18430299465936476,0.1382196628311836
SHLT,"1,0,0,0,0",0.8964972600805302,1.0046020683386472,0.21146315103274285,0.09850025844395785
