group,target,BMI,HAIRA,HATOTB,HCHILD,HHHRES,HITOT,IEARN,INHPFN,LIVSIB,PRPCNT
"0,0,1,1,1",SHLT,0.2149267960124792,0.1069039167650416,0.2185133028608506,0.0909416758035721,0.0260931679374643,0.1858618231610108,0.0397745533484835,0.0102031576625834,0.0805074498319928,0.0262741566165213
"0,0,1,1,1",MSTOT,0.1802681126059162,0.0866890269382337,0.2305356304053655,0.0799722342682031,0.027979952501726,0.2131449320523493,0.0461325797024509,0.0092078926306523,0.0999052460658822,0.0261643928292203
"0,0,1,1,1",COGTOT,0.173121098620548,0.1063673541176189,0.2060295798874004,0.069855875617924,0.0267407095208339,0.2507362648395325,0.0474376381654029,0.0093620571795975,0.0832777275708621,0.0270716944802795
"0,1,1,1,1",SHLT,0.2173048600909085,0.1669576886033597,0.1658760202219006,0.0803367323077756,0.0196314559707234,0.1907385168632828,0.0454200496578561,0.0137919742639772,0.0785449567132607,0.0213977453069549
"0,1,1,1,1",MSTOT,0.1652154989248064,0.1389078396982938,0.1944578408524222,0.1123013956313155,0.0132923256469078,0.1958224278234649,0.029519752477919,0.0102162740220057,0.1113403668525584,0.0289262780703058
"0,1,1,1,1",COGTOT,0.1699422361837988,0.1513323320345284,0.1879303197320287,0.0847749786421037,0.0180895960580943,0.2134579740741983,0.037654193793632,0.0085419492049983,0.0978435635471742,0.0304328567294428
"0,0,0,0,0",SHLT,0.1949694735429552,0.0654096699592086,0.1867164708053909,0.0652313580099845,0.0457162127075988,0.1962285723154912,0.1391505262523008,0.0048861889503143,0.0774977605629003,0.0241937668938549
"0,0,0,0,0",MSTOT,0.1682428886821955,0.0647435651492162,0.1741279194384502,0.0687898264203238,0.0495244124390458,0.2106565294014278,0.15477715370129,0.0026566058566855,0.0813735292114078,0.0251075696999571
"0,0,0,0,0",COGTOT,0.1640571234510336,0.0714596920926535,0.1797225442441622,0.0665680202108747,0.0454276069793905,0.2229784402887968,0.1434881321649302,0.0041493920133429,0.0769159351624482,0.0252331133923669
"0,0,0,0,1",SHLT,0.2193634002267521,0.1037568577840903,0.2051686292439578,0.070899333487463,0.0450043672321327,0.1739897091532631,0.0672188208073531,0.0020564287930803,0.089202240252396,0.0233402130195112
"0,0,0,0,1",MSTOT,0.1740579622762193,0.1027456894782897,0.1835047892346054,0.0790427430552453,0.042129674557174,0.2352655520537367,0.0583170067168482,0.0015590066647376,0.1002396252340965,0.0231379507290469
"0,0,0,0,1",COGTOT,0.1556193585762315,0.1295627440939009,0.2141981258022307,0.0759046108784979,0.0376865748624488,0.2208057163593884,0.0548237298190148,0.0009942259910486,0.0871375220347534,0.0232673915824845
"0,0,1,0,0",SHLT,0.1813931719262194,0.0880496068662858,0.2004386173100149,0.0744937585152341,0.031687229499597,0.1826708284960426,0.132682241144337,0.0059200206560877,0.0721970842180528,0.0304674413681283
"0,0,1,0,0",MSTOT,0.1615733705242117,0.0610655619747435,0.1941114770242105,0.0806780208825692,0.0284661705492225,0.2198871796773272,0.1295247125644905,0.0020407785968833,0.0956574383658268,0.0269952898405143
"0,0,1,0,0",COGTOT,0.1516772631599808,0.0732639276792221,0.1750313740412889,0.0748202522177937,0.0303849859474934,0.2489923773290121,0.1297380652568021,0.003780431373294,0.088412193923152,0.0238991290719605
"0,0,1,0,1 + 0,1,1,0,0 + 0,1,1,1,0",SHLT,0.1904062434674668,0.1015248652813485,0.2055343017099276,0.0752186143872179,0.0259162113016834,0.1920432017744835,0.1015874490041516,0.0032353618801001,0.0795583484156665,0.0249754027779538
"0,0,1,0,1 + 0,1,1,0,0 + 0,1,1,1,0",MSTOT,0.178774783099706,0.0868111939606512,0.2046634786367242,0.0732827524360802,0.0225706897161425,0.2183787998267128,0.1021082916883434,0.0015800122441366,0.0885712698049781,0.023258728586525
"0,0,1,0,1 + 0,1,1,0,0 + 0,1,1,1,0",COGTOT,0.1733677327103965,0.1019505022132765,0.1972737366988913,0.0760596719155817,0.0228113785463432,0.2233501746808842,0.0986255669206856,0.0029817601340015,0.0788466378937711,0.0247328382861678
"0,0,1,1,0",SHLT,0.1624103690328201,0.1010242894038036,0.2247057525092991,0.0783383936280457,0.0184798062582303,0.1805659180036822,0.1240043003544851,0.0067191993261998,0.0770495482152697,0.0267024232681642
"0,0,1,1,0",MSTOT,0.1724191975178136,0.0952868406200342,0.18187702665501,0.0858547722608128,0.0252203243350043,0.2015014504874887,0.1193227170586747,0.0043502447382078,0.0908049367899464,0.0233624895370069
"0,0,1,1,0",COGTOT,0.1657929373394971,0.1140490131320759,0.1795077235016847,0.0851797966083881,0.0204607561346693,0.2056811614905172,0.1238700418196942,0.0043846588859608,0.0793789147103425,0.02169499637717
"1,0,0,0,0",SHLT,0.1916660680821829,0.0095791355451929,0.1955054126972511,0.1220479501609236,0.0717675101795836,0.151909578898774,0.078641530676491,0.0018678673885893,0.1553274507028563,0.0216874956681548
"1,0,0,0,0",MSTOT,0.2205348478078153,0.0052292678292282,0.1446065600352471,0.1067453762225904,0.0706083905275614,0.1602066247577725,0.1218380699095911,0.0014132265639348,0.146381623373872,0.0224360129723866
"1,0,0,0,0",COGTOT,0.2139513621479223,0.0180657477518445,0.1651597254022581,0.1151263593306669,0.0624967925841672,0.1608574234386943,0.0977874341435508,0.0016391100345128,0.140660920904649,0.0242551242617336
