group,target,BMI,HAIRA,HATOTB,HCHILD,HHHRES,HITOT,IEARN,INHPFN,LIVSIB,PRPCNT
"0,0,0,0,0",SHLT,0.19496947354295527,0.06540966995920865,0.18671647080539097,0.06523135800998454,0.045716212707598874,0.1962285723154912,0.13915052625230082,0.004886188950314303,0.0774977605629003,0.024193766893854957
"0,0,0,0,0",MSTOT,0.1682428886821955,0.06474356514921627,0.17412791943845024,0.06878982642032384,0.04952441243904585,0.2106565294014278,0.15477715370129008,0.002656605856685512,0.08137352921140785,0.02510756969995713
"0,0,0,0,0",COGTOT,0.16405712345103363,0.0714596920926535,0.17972254424416226,0.06656802021087475,0.04542760697939057,0.2229784402887968,0.14348813216493028,0.004149392013342967,0.07691593516244825,0.025233113392366998
"0,0,0,0,1",SHLT,0.21936340022675216,0.10375685778409031,0.20516862924395782,0.07089933348746302,0.04500436723213278,0.17398970915326317,0.06721882080735313,0.0020564287930803773,0.08920224025239604,0.023340213019511225
"0,0,0,0,1",MSTOT,0.17405796227621934,0.10274568947828971,0.18350478923460545,0.07904274305524538,0.04212967455717408,0.23526555205373675,0.05831700671684823,0.0015590066647376477,0.10023962523409652,0.02313795072904691
"0,0,0,0,1",COGTOT,0.15561935857623158,0.1295627440939009,0.21419812580223077,0.07590461087849794,0.03768657486244886,0.22080571635938842,0.05482372981901489,0.000994225991048634,0.08713752203475345,0.023267391582484597
"0,0,1,0,0",SHLT,0.18139317192621943,0.08804960686628589,0.2004386173100149,0.0744937585152341,0.03168722949959706,0.18267082849604263,0.13268224114433708,0.005920020656087761,0.07219708421805283,0.030467441368128328
"0,0,1,0,0",MSTOT,0.16157337052421178,0.06106556197474351,0.19411147702421055,0.08067802088256926,0.028466170549222534,0.21988717967732727,0.12952471256449052,0.0020407785968833627,0.0956574383658268,0.02699528984051439
"0,0,1,0,0",COGTOT,0.15167726315998087,0.0732639276792221,0.17503137404128896,0.07482025221779373,0.030384985947493465,0.24899237732901217,0.1297380652568021,0.0037804313732940145,0.08841219392315203,0.023899129071960516
"0,0,1,0,1 + 0,1,1,0,0 + 0,1,1,1,0",SHLT,0.19040624346746682,0.10152486528134859,0.2055343017099276,0.07521861438721796,0.025916211301683444,0.1920432017744835,0.10158744900415163,0.003235361880100188,0.0795583484156665,0.024975402777953837
"0,0,1,0,1 + 0,1,1,0,0 + 0,1,1,1,0",MSTOT,0.17877478309970601,0.0868111939606512,0.2046634786367242,0.0732827524360802,0.02257068971614251,0.21837879982671285,0.1021082916883434,0.001580012244136637,0.08857126980497815,0.023258728586525022
"0,0,1,0,1 + 0,1,1,0,0 + 0,1,1,1,0",COGTOT,0.17336773271039652,0.10195050221327656,0.19727373669889137,0.0760596719155817,0.022811378546343297,0.22335017468088428,0.09862556692068565,0.0029817601340015438,0.07884663789377117,0.024732838286167808
"0,0,1,1,0",SHLT,0.1624103690328201,0.10102428940380362,0.22470575250929914,0.07833839362804572,0.018479806258230307,0.1805659180036822,0.12400430035448512,0.006719199326199834,0.07704954821526977,0.02670242326816425
"0,0,1,1,0",MSTOT,0.17241919751781362,0.09528684062003426,0.18187702665501007,0.08585477226081287,0.0252203243350043,0.20150145048748877,0.11932271705867477,0.004350244738207801,0.09080493678994649,0.023362489537006988
"0,0,1,1,0",COGTOT,0.1657929373394971,0.11404901313207595,0.1795077235016847,0.08517979660838813,0.0204607561346693,0.2056811614905172,0.12387004181969426,0.004384658885960838,0.07937891471034253,0.021694996377170057
"0,0,1,1,1",SHLT,0.21039241942276446,0.10702673043445698,0.21448059035365805,0.08861532463551469,0.02826031290735517,0.18851140107095515,0.04156634291858748,0.011204714503068288,0.08343816224424255,0.026504001509397187
"0,0,1,1,1",MSTOT,0.17954755924834656,0.08637776162563543,0.23320709035508608,0.08163962539379288,0.025556780952681112,0.21324531742079292,0.04542346512777983,0.009178256760862188,0.1001031926776162,0.025720950437406877
"0,0,1,1,1",COGTOT,0.18110503473967754,0.10371043166269112,0.20255493200986044,0.07699543212814114,0.02551825556777609,0.24395230997233022,0.05127193970645535,0.009187139585264487,0.08051927848591788,0.02518524614188582
"0,1,1,1,1",SHLT,0.2031481323845421,0.17543095562868946,0.17542411036162117,0.07844363312937021,0.02115693313025343,0.18704019891601326,0.04582179614122677,0.011629219692745272,0.07940521752349558,0.022499803092042633
"0,1,1,1,1",MSTOT,0.1695925464516538,0.12584880862763514,0.19400346274682384,0.11650739200835349,0.013649414082592104,0.2002559920196504,0.03189085718123545,0.009983087417402564,0.10791354147103283,0.030354897993620383
"0,1,1,1,1",COGTOT,0.170354460364191,0.1347402005185478,0.17576068907346812,0.08356557002915904,0.02058632893340578,0.2242836158416147,0.04518436090653457,0.007617568720010255,0.10559064153053312,0.03231656408253574
"1,0,0,0,0",SHLT,0.19166606808218298,0.009579135545192938,0.19550541269725116,0.12204795016092364,0.0717675101795836,0.15190957889877404,0.07864153067649102,0.0018678673885893675,0.15532745070285636,0.021687495668154866
"1,0,0,0,0",MSTOT,0.2205348478078153,0.005229267829228221,0.14460656003524716,0.10674537622259048,0.07060839052756147,0.16020662475777256,0.12183806990959117,0.0014132265639348338,0.14638162337387203,0.022436012972386645
"1,0,0,0,0",COGTOT,0.21395136214792235,0.018065747751844555,0.16515972540225818,0.1151263593306669,0.06249679258416728,0.16085742343869439,0.09778743414355089,0.0016391100345128902,0.14066092090464907,0.0242551242617336
