	0
R4SHLT	1.0
R4MOBILA	0.5185568115232974
R4HLTHLM	0.5105081221367895
R4CONDE	0.4954398973049774
R4WALKSA	0.4850731234310134
R4HLTC5	0.4717394372901621
R4LGMUSA	0.463567471955299
R4PRMEM	0.45857113313688036
R4DCCONT3	0.45362889878155155
R4GROSSA	0.45017925708955764
R4HLTC3	0.45000697472218304
R4CLIMSA	0.43792254033463357
R4JOGA	0.423239518661316
R4SHLTC	0.42055701919890215
R4NHMMVY	0.41970475207406305
R4PUSHA	0.4180836672902101
R4LIFTA	0.41094104245035146
R4CLIM1A	0.4082311665560054
R4WALK1A	0.3919473285127379
R4ADL5A	0.3799570607269507
S4DCMODE3	0.3795166950355407
R4ADL6A	0.37873365083444355
R4CESD	0.37749968690934405
R4STOOPA	0.3631251927920854
R4RETSAT	0.36188876987165036
R4TOTMBI	0.3477972130009334
R4CHAIRA	0.34684739275964305
R4SHOPA	0.34681207496853256
R4FINEA	0.34372085064710045
R4IADL5A	0.33913089657239237
R4EFFORT	0.3327180354682719
R4SLFMEM	0.3318471507177147
R4IADL5H	0.31918558695092625
R4SSAPLM	0.31909148906973245
R4DRESSA	0.3181130067018739
R4ARMSA	0.3080946740658402
R4DRESS	0.30195003003392484
R4WORKLM	0.2997559884158341
R4BATHA	0.2994962263126132
R4HEARTE	0.29777079566280384
R4BATH	0.2961927339264589
R4HOSP	0.2953982383133067
R4GOING	0.2945607997937262
R4RYRCMP	0.29345236558008225
R4DRUGS	0.2885675296537208
R4CHAIR	0.28741960927548793
R4MEALSA	0.2827272603394786
R4WALKRA	0.2824372833157918
R4ADL5H	0.2820766053708334
S4SHLT	0.27878520110994376
R4SITA	0.2781610321628704
R4BEDA	0.2770102736955958
R4ADL6H	0.2754868095623077
R4SSAPL	0.27431332669160324
S4SSSTPM	0.27286190115606196
R4WALKRE	0.27173803721365797
R4WALKS	0.271274728865336
R4LBRF	0.26655263219112896
R4LBRFH	0.2648066994463021
R4WALK1	0.26071978709771326
S4PRMEM	0.2603601244035889
R4HSPTIM	0.25572854280388496
R4ARTHRE	0.2555468779103557
R4BED	0.2553945035138444
R4DOCTIM	0.25506857152780743
R4DIABE	0.25152019741041237
R4TOILTA	0.2491894807952876
R4SLEEPR	0.24823305824843123
R4STOOP	0.24361521784584408
R4PRCHMEM	0.24279268718235364
R4WGFHR	0.2407415026990277
R4HIBPE	0.24073507212363163
R4WGFWK	0.24055193288955848
R4WALKR	0.24039051165868605
R4DCBENE3	0.23993038232022576
R4MONEYA	0.23992134884659114
R4CLIM1	0.23955331053593004
R4DEPRES	0.2382370744187176
R4HLPRTN	0.23644079066262869
R4DSTAT	0.2351420063244734
R4LIFT	0.23483562505999706
R4ARMS	0.22659692193523007
R4PHONEA	0.2262541350345311
R4HIGOV	0.2250143559391751
R4BACK	0.22485440255282832
R4INHPTN	0.2194006860783891
R4LUNGE	0.2180229056013258
R4JLOCC	0.2170622651077517
R4HLPRUN	0.21692375509550976
R4DCPCT3	0.21679979120380127
R4SAYRET	0.21633563936876044
R4DIMEA	0.2154569447925928
R4PUSH	0.2134112157569414
R4BEDH	0.2126950313789003
R4HOMCAR	0.21188823458426223
R4HLPRFN	0.2110523332547031
R4INHPFN	0.21093027523102
R4MAPA	0.21067496825103985
R4GOVMR	0.21048404836407833
R4EATA	0.20984640040272384
R4CLIMS	0.20887137966903524
R4MAP	0.2077201378015826
R4STROKE	0.20726359416360016
R4TOILT	0.2058936955921336
R4MEDSA	0.20364288208366793
R4PSYCHE	0.2024127866798624
R4INHPUN	0.20238789780499575
R4WALKRH	0.201831907809187
R4HIBP	0.20100802330248413
R4LOST	0.20023782899061474
R4MEDSH	0.19923305927885768
R4TOILTH	0.198785492255487
S4MOBILA	0.19778429645437762
R4HLPDYST	0.19690580475302683
R4BEDE	0.19671054889222198
R4DIAB	0.19326364856124123
R4SSDI	0.1931283059777111
R4HALUC	0.1924080002430885
S4LIV8XF	0.19164349484902135
S4CESD	0.1913952777792882
S4RYRCMP	0.19000686352063778
R4SSAPP	0.18983213036667543
R4AGEM_E	0.18904706062586218
R4AGEM_M	0.18901843201316576
R4AGEM_B	0.18899776888843725
R4AGEY_E	0.18866354845664682
R4AGEY_M	0.18863217056851478
R4AGEY_B	0.18861642364708645
R4HLPDYSF	0.1874118060369307
R4FLONE	0.18619308694275144
S4LGMUSA	0.18507439679348733
R4DRESSH	0.18501120086550304
R4CONDS	0.1849517836099678
R4HIBPQ	0.18441146767868027
R4GOVMD	0.1844072331901306
R4EAT	0.18208155938118012
R4HLPDYSU	0.18153659752592596
H4AFSTCK	0.1791609029164485
S4GROSSA	0.1791097279432131
S4CONDE	0.17889516046368334
S4CLIMSA	0.1778566959732535
S4RETSAT	0.17728348837680685
R4JCOCC	0.17706140799565298
S4SSAPLY	0.17624052801459308
S4WALKSA	0.176206274231922
R4HEART	0.17589787963207698
R4STROK	0.175442267910353
R4DIABQ	0.1737980646374367
R4ARTHR	0.17348802126046278
S4HLTHLM	0.1731967053310103
R4FSAD	0.17215659790614185
R4ARTHRQ	0.17077729318769547
S4EFFORT	0.17039768755976945
S4CLIM1A	0.17037093856743635
R4DCPCT2	0.17002166180226566
S4JCOCC	0.1687747675352675
S4LIV85P	0.16757445446516872
S4DCMODE2	0.16579370609527558
R4SHOP	0.1655163521211419
S4JLOCC	0.1647598007607943
S4LIV75P	0.16425440850178316
S4LIFTA	0.16335531688507252
R4LIV8XF	0.1630400123337235
R4PSTMEM	0.1625303398716173
R4LIV75P	0.16166610234079612
