group,target,BMI,HAIRA,HATOTB,HCHILD,HHHRES,HITOT,IEARN,INHPFN,LIVSIB,PRPCNT
"0,0,0,0,0",SHLT,0.20003414877467227,0.06757461303006485,0.1711366744268007,0.06169261661738587,0.044280722284796376,0.210978873504536,0.137156754753047,0.0037940757385440077,0.07807751463300394,0.025274006237148948
"0,0,0,0,0",MSTOT,0.16437249867689366,0.07921827431001861,0.17042505132719546,0.06663715981801656,0.048726807500807434,0.19883932229253484,0.16129162423831278,0.0029903360611545746,0.08305231968509524,0.024446606089970655
"0,0,0,0,0",COGTOT,0.16195530335597275,0.07998682107075676,0.1777355720808182,0.06613448861504442,0.04503733660338526,0.21656053793603947,0.14711827611896683,0.003693865127871877,0.07699081997546114,0.02478697911568318
"0,0,0,0,1",SHLT,0.21430002480865998,0.098268182622709,0.21274574116787248,0.07320826003985731,0.047052745259969615,0.16952504393090087,0.07095155126101982,0.002554227041236597,0.0862008832237826,0.0251933406439918
"0,0,0,0,1",MSTOT,0.17855286476529153,0.09706117742801736,0.18511130443357124,0.06878026181771714,0.04213521624379113,0.23289882818350965,0.05996259983411656,0.0018130357110715874,0.11075445792676336,0.02293025365615048
"0,0,0,0,1",COGTOT,0.1612079021817921,0.12110762775675439,0.1887536562580786,0.07509068425462354,0.03884325278852885,0.2365508391218889,0.05670341798271557,0.0011357759433919573,0.09945008520296644,0.02115675850925952
"0,0,1,0,0",SHLT,0.1910149869876656,0.08608176924761446,0.20783524335820386,0.07290108831043701,0.03316480291122817,0.17214632508248778,0.13194781526143487,0.005972941229247164,0.07096425682150222,0.027970770790178963
"0,0,1,0,0",MSTOT,0.16636151001287494,0.06655968904616615,0.20476578783156532,0.08325240384795253,0.030293277267580982,0.18846894941044962,0.13620182942863684,0.003427108933879872,0.09372718241129521,0.026942261809598644
"0,0,1,0,0",COGTOT,0.1514355301878246,0.06826519074161733,0.20194620147732897,0.07295986742064516,0.03253441884681807,0.22840525455771885,0.1335753272687887,0.004443660058195453,0.08174668033302601,0.02468786910803677
"0,0,1,0,1 + 0,1,1,0,0 + 0,1,1,1,0",SHLT,0.199521520582597,0.10572673074203484,0.19127185249494652,0.0725953507460953,0.026696296775137227,0.19186612005315276,0.10317360407843457,0.0028753542463883764,0.08095065591491866,0.025322514366294784
"0,0,1,0,1 + 0,1,1,0,0 + 0,1,1,1,0",MSTOT,0.17974722552909378,0.08896948669939936,0.20448744068068334,0.07094766870818608,0.0217725389826891,0.22141275239226094,0.10087157684138089,0.002112212848712846,0.08830372812225971,0.02137536919533403
"0,0,1,0,1 + 0,1,1,0,0 + 0,1,1,1,0",COGTOT,0.17061862214035114,0.10359897283676422,0.19254634686411068,0.07541689042773228,0.023546486825626885,0.22591981256085983,0.09947427126754602,0.003939053046541088,0.08028057401261478,0.02465897001785306
"0,0,1,1,0",SHLT,0.16359619645596973,0.10529544482125354,0.22173367848439435,0.07651350759999817,0.01915030785293296,0.18007597203811584,0.12315875785736757,0.00430615327142854,0.08105151777834904,0.02511846384019017
"0,0,1,1,0",MSTOT,0.17131247727755772,0.09125488083283965,0.1987021571041055,0.08666026744414422,0.022467230788901872,0.18815243756701291,0.12344221834842083,0.004365017632276021,0.08897124607243831,0.02467206693230305
"0,0,1,1,0",COGTOT,0.1581801367621307,0.106489839669167,0.20298560567372237,0.080147477860375,0.020620515571210873,0.2039748697007095,0.12353026633089953,0.004481555303252288,0.07708897121635941,0.022500761912173428
"0,0,1,1,1",SHLT,0.21492679601247922,0.10690391676504162,0.21851330286085066,0.09094167580357218,0.026093167937464367,0.1858618231610108,0.039774553348483586,0.010203157662583435,0.08050744983199282,0.02627415661652139
"0,0,1,1,1",MSTOT,0.18026811260591627,0.08668902693823377,0.23053563040536554,0.07997223426820312,0.027979952501726055,0.2131449320523493,0.046132579702450945,0.00920789263065233,0.09990524606588226,0.02616439282922035
"0,0,1,1,1",COGTOT,0.17312109862054803,0.10636735411761897,0.20602957988740045,0.06985587561792403,0.026740709520833943,0.25073626483953254,0.04743763816540292,0.009362057179597504,0.08327772757086215,0.027071694480279504
"0,1,1,1,1",SHLT,0.21730486009090852,0.16695768860335977,0.1658760202219006,0.08033673230777562,0.019631455970723494,0.19073851686328286,0.045420049657856156,0.013791974263977293,0.07854495671326078,0.021397745306954995
"0,1,1,1,1",MSTOT,0.16521549892480641,0.13890783969829387,0.1944578408524222,0.11230139563131555,0.013292325646907804,0.19582242782346493,0.029519752477919027,0.010216274022005775,0.11134036685255845,0.028926278070305896
"0,1,1,1,1",COGTOT,0.16994223618379886,0.15133233203452845,0.18793031973202878,0.08477497864210379,0.01808959605809433,0.2134579740741983,0.03765419379363201,0.00854194920499833,0.09784356354717427,0.030432856729442865
"1,0,0,0,0",SHLT,0.2134594092298458,0.006457513006645656,0.1911329232548709,0.11866713158171771,0.06909071158029859,0.13936688930719207,0.08822025613723058,0.002852859613170277,0.1427611186682104,0.02799118762081812
"1,0,0,0,0",MSTOT,0.22637382120634322,0.027166815676430082,0.15433248199102753,0.11053067583711294,0.06381513123905756,0.13158531143615887,0.11169623947040694,0.007042877644413125,0.1432203976953634,0.024236247803686353
"1,0,0,0,0",COGTOT,0.1942665363136237,0.038001670235633556,0.17387332454013157,0.10503888052625258,0.06999834758544857,0.17791619856248345,0.07707628003228603,0.013129034781872433,0.12730858543594997,0.0233911419863182
