group,targets,BMI,HAIRA,HATOTB,HCHILD,HHHRES,HITOT,IEARN,INHPFN,LIVSIB,PRPCNT
"0,0,0,0,0","SHLT, MSTOT, COGTOT",0.1905029580063514,0.0676819856441104,0.16847017114374674,0.0662786537762498,0.04741617528899357,0.21004341138386926,0.13930584599292783,0.0035679049900186467,0.08085697504746774,0.02587591872626459
"0,0,0,0,1","SHLT, MSTOT, COGTOT",0.20167058763302811,0.10282287489787807,0.208615559257153,0.07397450605665579,0.04761598664992315,0.17715811743276944,0.06669946451876692,0.002059351174010442,0.09451351339684406,0.024870038982970948
"0,0,1,0,0","SHLT, MSTOT, COGTOT",0.17674780036372148,0.08120558585357152,0.2054352129450294,0.07648177924173108,0.03591374693550782,0.1774628780804199,0.13288645085706402,0.004572982243251781,0.08004795987328589,0.029245603606417293
"0,0,1,0,1 + 0,1,1,0,0 + 0,1,1,1,0","SHLT, MSTOT, COGTOT",0.19047345425756787,0.10346529880900364,0.19249874583486892,0.07544979118370944,0.027318658053580427,0.19426202515410196,0.101940841120293,0.0026144981072879748,0.08470158534936263,0.027275102130224167
"0,0,1,1,0","SHLT, MSTOT, COGTOT",0.1659090743503138,0.09793559893536788,0.21752089297429267,0.07998030844335569,0.020446718810027277,0.18004702943367168,0.12028478136997982,0.0042105575126936395,0.08720608535892527,0.026458952811372324
"0,0,1,1,1","SHLT, MSTOT, COGTOT",0.20684564644632758,0.10227281290274061,0.21109882737758306,0.0894650205764918,0.02782405735501155,0.19739535879807743,0.04173259940172275,0.009941968612348176,0.08522360032621312,0.02820010820348402
"0,1,1,1,1","SHLT, MSTOT, COGTOT",0.20536613062874615,0.16540768317199495,0.16428054402752146,0.0868824919479954,0.01888741488463582,0.1907293446759649,0.04145412410404156,0.01167475501900572,0.09025082205802208,0.025066689482072097
"1,0,0,0,0","SHLT, MSTOT, COGTOT",0.21122060494883188,0.009872031400074362,0.18813269290069914,0.1144776118927121,0.06826202179615229,0.14111417111931,0.0895189457161868,0.005445435560389289,0.14154852737299295,0.030407957292651184
