group,targets,BMI,HAIRA,HATOTB,HCHILD,HHHRES,HITOT,IEARN,INHPFN,LIVSIB,PRPCNT
"0,0,0,0,0","SHLT, MSTOT, COGTOT",0.1868071430006678,0.06382745513330922,0.18522005918814932,0.06843905102864027,0.04839616183411543,0.1974494569763816,0.13957478511703583,0.0045039271410753645,0.08066876886795239,0.025113191712672817
"0,0,0,0,1","SHLT, MSTOT, COGTOT",0.20688184748129557,0.10327765196802552,0.2044773547130988,0.07381978937301703,0.04522158980779256,0.17937167367630683,0.06601030134701685,0.0017027639322320831,0.09471453632878389,0.02452249137243086
"0,0,1,0,0","SHLT, MSTOT, COGTOT",0.17711818837372506,0.08034524143352947,0.19435554841206357,0.07871094046633838,0.033099838643918925,0.18654823039775276,0.1323837420373064,0.004481981650369277,0.08124927885897544,0.03170700972602072
"0,0,1,0,1 + 0,1,1,0,0 + 0,1,1,1,0","SHLT, MSTOT, COGTOT",0.18286771378223826,0.10047233235239644,0.20448521419624288,0.07751962256982252,0.025928684349651777,0.1922841193224185,0.10227268079252025,0.0027763187442901224,0.08410393525510355,0.027289378635315917
"0,0,1,1,0","SHLT, MSTOT, COGTOT",0.16580582261695698,0.09381731998273708,0.21585948591394885,0.08191463321613676,0.020001200848574634,0.18147836813804552,0.12288803254409682,0.0056377972996093356,0.08503364846236522,0.027563690977528765
"0,0,1,1,1","SHLT, MSTOT, COGTOT",0.20236099950042738,0.10734955456318329,0.20773173884487542,0.08924143082240786,0.029478154825408928,0.19489990002801627,0.04407118410946167,0.010854260517335977,0.0859097909800458,0.028102985808837484
"0,1,1,1,1","SHLT, MSTOT, COGTOT",0.19288518599738255,0.17096889531919043,0.17262773100783496,0.08914344196793415,0.020754020898923902,0.18362129498363772,0.04392986258491808,0.01086020228190116,0.08774188853915413,0.027467476419122908
"1,0,0,0,0","SHLT, MSTOT, COGTOT",0.19024214968297823,0.008160201778384411,0.18718588822480386,0.12393362997908104,0.07555963726782246,0.15437191336501416,0.08601994594687275,0.001494753195321126,0.14670755587097073,0.026324324688751417
