Group,Train RMSE,Test RMSE,Train R²,Test R²,Train RMAPE,Test RMAPE
"0,0,0,0,0",0.016917295347807875,0.04454924041362163,0.9651031096323108,0.7505054738000702,0.0038025760582755474,0.009987492542081484
"0,0,0,0,1",0.017353369503926158,0.046097130899803315,0.9622912031280008,0.6835936209353911,0.0038991094621787467,0.010313073903188488
"0,0,1,0,0",0.01829111959651961,0.042353717982179746,0.9653315631192512,0.8212633790684917,0.00406808020972278,0.009873282292868933
"0,0,1,0,1 + 0,1,1,0,0 + 0,1,1,1,0",0.01684272692659396,0.04625702473629896,0.9636685170032844,0.7522136983706261,0.0037214757887727642,0.00970894197999991
"0,0,1,1,0",0.01691916604349671,0.05081538815298209,0.9639241306831908,0.7296666145660825,0.003745348085217235,0.010563519052352914
"0,0,1,1,1",0.017683513490840543,0.046085885036550304,0.9616131078244822,0.7523096944655929,0.003843009002961171,0.010686930588331636
"0,1,1,1,1",0.016798252573166795,0.041625294402254806,0.9597677804384198,0.7344798810655716,0.0036875138852541316,0.009314899483184449
"1,0,0,0,0",0.02610450751121293,0.06930018506037686,0.9428659802969898,0.5460129867354212,0.006173094770120478,0.017149470873103253
